#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-19T14:36:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-19T14:36:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/702/A77/tableb1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/702/A77/tableb1&-out=Seq&-out=RA_ICRS&-out=DE_ICRS&-out=GaiaDR3&-out=Alias&-out=HIP&-out=Gmag&-out=Vmag&-out=Kmag&-out=B-V&-out=BP-RP&-out=plx&-out=SpType&-out=MstarFlame&-out=Dataset&-out=NFOV&-out=NAL&-out=AEN&-out=RUWE&-out=sigmacalib&-out=sigmaAL&-out=sigmaatt&-out=alphaU&-out=pRUWE&-out=s_RUWE&-out=Mplmin&-out=smaPlmin&-out=rhoPlmin&-out=WDS&-out=NSSflag&-out=NPlNEA&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020077
#Name: J/A+A/702/A77
#Title: Catalog of 9698 planet candidate solar-type hosts (Kiefer+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	creator=Kiefer F.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A..77K	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A77	    Dataset landing page
#INFO	publication_date=2025-12-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_702_A77_tableb1:
#Name: J/A+A/702/A77/tableb1
#Title: Candidates systems
#Column	Seq	(I4)	[1/9698] Identification number in the catalog (Catalog ID)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2016.0 (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) Ep=2016.0 (DE)	[ucd=pos.eq.dec;meta.main]
#Column	GaiaDR3	(I19)	Gaia DR3 Identification number (Gaia DR3 ID)	[ucd=meta.id;meta.main]
#Column	Alias	(a32)	Main alias of the star (main alias)	[ucd=meta.id]
#Column	HIP	(A10)	Name of the star in the Hipparcos catalog (HIP name)	[ucd=meta.id]
#Column	Gmag	(F5.2)	Magnitude in Gaia G-band (G)	[ucd=phot.mag;em.opt]
#Column	Vmag	(F6.2)	? Magnitude in Johnson V-band (V)	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.2)	? Magnitude in Johnson K-band (K)	[ucd=phot.mag;em.IR.K]
#Column	B-V	(F6.3)	? B-V color index from Johnson B- and V-band magnitude (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	BP-RP	(F6.3)	BP-RP color index from Gaia BP- and RP-band magnitude (BP-RP)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	plx	(F5.2)	Parallax from the Gaia DR3 Catalog (Gaia Collaboration, Vallenari et al., 2023A&A...674A...1G) (PLX)	[ucd=pos.parallax.trig]
#Column	SpType	(a15)	Spectral type from Simbad (SP TYPE)	[ucd=src.spType]
#Column	MstarFlame	(F6.3)	Mass of the star from the mass-flame parameter in the Gaia CU8 catalog (Gaia Collaboration, Creevey et al., 2023A&A...674A...1G) (Mstar_Flame)	[ucd=phys.mass]
#Column	Dataset	(A2)	Identification of Gaia sources' astrometry fitted with 5 or 6 parameters (5p/6p) (Dataset)	[ucd=meta.id;meta.modelled]
#Column	NFOV	(I3)	[14/170] Number of field-of-view (FOV) transits during the Gaia DR3 observing campaign (astrometric_matched_transit in the Gaia DR3 catalog) (N_FOV)	[ucd=meta.id;instr.fov]
#Column	NAL	(I1)	[8/9] Deduced average number of astrometric along-scan angle measurements during a single FOV transit (N_AL)	[ucd=meta.number]
#Column	AEN	(F6.3)	astrometric_excess_noise from Gaia DR3 catalog (AEN)	[ucd=stat.fit.param]
#Column	RUWE	(F6.3)	Renormalised unit weight error from Gaia DR3 catalog (RUWE)	[ucd=stat.error]
#Column	sigmacalib	(F6.3)	G-mag and BP-RP dependent calibration noise as determined in Paper I (Kiefer, Lagrange, et al. 2024a) (sigma_calib)	[ucd=stat.correlation]
#Column	sigmaAL	(F6.3)	G-mag and BP-RP dependent along-scan angle measurement noise as determined in Paper I (sigma_AL)	[ucd=stat.correlation]
#Column	sigmaatt	(F6.3)	RA-Dec dependent attitude excess noise as determined in Paper I (sigma_att)	[ucd=stat.correlation]
#Column	alphaU	(F6.3)	Astrometric signature determined from the RUWE (alpha_UEVA_RUWE)	[ucd=stat.fit.param]
#Column	pRUWE	(E9.2)	p-value of the RUWE in the single-star null hypothesis (Paper I) (p_RUWE)	[ucd=stat.fit.goodness]
#Column	s_RUWE	(F6.1)	Significance of the RUWE as a number of sigma (s_RUWE) (1)	[ucd=meta.number;phys.atmol.number]
#Column	Mplmin	(F4.1)	Approximate minimum mass of the planet deduced from the RUWE (Papers I & II) (M_planet_min)	[ucd=phys.mass]
#Column	smaPlmin	(F5.2)	Approximate semi-major axis of the planet if the mass is M_planet_min (sma_planet_min)	[ucd=phys.angSize;src]
#Column	rhoPlmin	(F6.2)	Planet-to-star angular separation at sma_planet_min (rho_planet_min)	[ucd=pos.angDistance]
#Column	WDS	(A17)	Name of the star in the WDS catalog (if found) (WDS_ID)	[ucd=meta.id]
#Column	NSSflag	(I1)	[0/3]? Flag indicating the type of solution determined in the Gaia non-single star catalog (see Gaia Collaboration, Arenou et al., 2023A&A...674A..34G) (NSS_flag) (2)	[ucd=meta.code.error;meta.table]
#Column	NPlNEA	(I1)	? Number of planets found in the Nasa Exoplanet Archive (N_planeta_NEA)	[ucd=meta.number]
Seq	RA_ICRS	DE_ICRS	GaiaDR3	Alias	HIP	Gmag	Vmag	Kmag	B-V	BP-RP	plx	SpType	MstarFlame	Dataset	NFOV	NAL	AEN	RUWE	sigmacalib	sigmaAL	sigmaatt	alphaU	pRUWE	s_RUWE	Mplmin	smaPlmin	rhoPlmin	WDS	NSSflag	NPlNEA
2426	 44.96920303588	+51.27575797450	 440414570828127616	                                	          	12.45	      	      	      	 1.337	 6.14	               	 0.780	5p	 45	9	 0.119	 1.406	 0.096	 0.026	 0.071	 0.084	 1.00e-03	   3.3	13.4	 1.93	 11.87	                 	0	0
2427	 32.19914454775	 +2.50255660083	2514468365557982208	                                	          	12.45	      	      	      	 1.455	 7.77	               	 0.719	5p	 26	9	 0.106	 1.354	 0.095	 0.026	 0.075	 0.086	 5.40e-03	   2.8	10.3	 1.88	 14.62	                 	0	0
2428	  0.55883446075	-32.73331818166	2313529218263024256	                                	          	12.45	      	      	      	 1.287	 7.30	               	 0.746	5p	 52	9	 0.097	 1.286	 0.097	 0.027	 0.074	 0.074	 4.80e-03	   2.8	 9.5	 1.90	 13.91	                 	0	0
2429	252.65565197274	-10.59117793491	4334548202772453120	                                	          	12.46	      	      	      	 1.517	 7.67	               	 0.769	5p	 60	9	 0.104	 1.314	 0.095	 0.026	 0.073	 0.071	 3.30e-03	   2.9	 9.0	 1.92	 14.76	                 	0	0
2430	189.72439470541	-54.47148132301	6074448117349051520	                                	          	12.46	      	      	      	 1.386	 7.17	               	 0.725	5p	102	9	 0.109	 1.311	 0.095	 0.026	 0.075	 0.075	 7.00e-05	   4.0	 9.8	 1.89	 13.52	                 	0	0
2431	155.92142483059	+11.13914103367	3883253071035322624	                                	          	12.46	      	      	      	 1.464	 7.85	               	 0.733	5p	 14	9	 0.101	 1.408	 0.095	 0.026	 0.075	 0.100	 6.30e-03	   2.7	11.9	 1.89	 14.87	                 	0	0
2432	122.26686455225	-85.55269425775	5190211898383220480	                                	          	12.46	      	      	      	 1.744	12.04	               	 0.659	5p	 40	9	 0.107	 1.359	 0.096	 0.029	 0.078	 0.090	 5.90e-04	   3.4	 6.5	 1.83	 22.00	                 	0	0
2433	215.78940488535	 +5.53917309873	3670157551385411072	                                	          	12.47	      	      	      	 2.030	11.38	               	 0.681	5p	 25	9	 0.172	 1.776	 0.103	 0.036	 0.074	 0.146	 0.00e+00	   5.1	11.4	 1.85	 21.03	                 	0	0
2434	354.75418231507	-35.74238065160	2311832736245186176	UCAC4 272-197993                	          	12.47	      	  9.98	      	 1.468	 8.04	               	 0.706	5p	 34	9	 0.138	 1.565	 0.095	 0.026	 0.074	 0.110	 1.00e-05	   4.4	12.5	 1.87	 15.04	                 	0	0
2435	252.05641912725	+74.30789601471	1654778125223713536	2MASS J16481395+7418268         	          	12.47	      	  9.89	      	 1.515	 8.42	               	 0.739	5p	 36	9	 0.101	 1.323	 0.095	 0.027	 0.079	 0.088	 1.20e-03	   3.2	 9.8	 1.90	 15.98	                 	0	0
2436	129.12811021212	-39.29208481384	5528689955927401216	                                	          	12.47	      	      	      	 1.435	 6.43	               	 0.745	5p	 47	9	 0.115	 1.379	 0.095	 0.026	 0.074	 0.084	 7.50e-04	   3.4	12.3	 1.90	 12.24	                 	2	0
2437	172.36470779185	+21.50154307538	3980340050847629184	                                	          	12.47	      	      	      	 1.599	 9.48	               	 0.715	5p	 27	9	 0.105	 1.416	 0.094	 0.027	 0.075	 0.093	 1.70e-03	   3.1	 9.0	 1.88	 17.80	                 	0	0
2438	 38.88944147389	-60.00521170964	4725859619389301376	SCR J0235-6000                  	          	12.47	      	  9.70	      	 1.706	10.71	               	 0.663	5p	 43	9	 0.088	 1.264	 0.095	 0.028	 0.078	 0.076	 5.00e-03	   2.8	 6.2	 1.83	 19.61	                 	0	0
2439	163.62146215577	-44.28614528498	5387898591501576576	L  394-109                      	          	12.47	 13.07	  9.60	 1.369	 1.756	13.54	               	 0.599	5p	 67	9	 0.243	 2.288	 0.096	 0.029	 0.072	 0.181	 0.00e+00	9999.0	11.0	 1.77	 23.97	                 	0	0
2440	229.65733258527	+79.87066247094	1720578948343334528	                                	          	12.47	      	      	      	 1.610	 9.21	               	 0.697	5p	 38	9	 0.090	 1.272	 0.094	 0.027	 0.078	 0.079	 4.40e-03	   2.9	 7.7	 1.86	 17.15	                 	0	0
2441	167.82444045062	+37.65883664801	 763772866017074688	                                	          	12.47	      	      	      	 1.611	 9.22	               	 0.725	5p	 45	9	 0.080	 1.240	 0.094	 0.027	 0.079	 0.074	 5.40e-03	   2.8	 7.5	 1.89	 17.40	                 	0	0
2442	238.18023881974	-26.01536806439	6235595973175830144	                                	          	12.47	      	      	      	 2.118	17.15	               	 0.575	5p	 48	9	 0.107	 1.327	 0.106	 0.039	 0.073	 0.082	 5.30e-03	   2.8	 3.8	 1.75	 29.94	                 	0	0
2443	 84.10935013375	-24.24446276653	2963392606627366912	LP  837-48                      	          	12.48	 13.18	  9.51	      	 1.875	12.81	               	 0.654	5p	 54	9	 0.113	 1.323	 0.097	 0.031	 0.073	 0.074	 4.50e-03	   2.8	 5.0	 1.82	 23.35	                 	0	0
2444	202.33581696388	+41.54766580669	1477171473664190208	                                	          	12.48	      	      	      	 1.756	11.20	               	 0.665	5p	 71	9	 0.105	 1.272	 0.096	 0.029	 0.079	 0.078	 4.20e-04	   3.5	 6.1	 1.83	 20.53	                 	0	0
2445	 20.70293995389	+10.42448366881	2579400608851166336	                                	          	12.48	      	      	      	 1.814	12.72	               	 0.634	5p	 45	9	 0.112	 1.346	 0.096	 0.030	 0.076	 0.085	 1.00e-03	   3.3	 5.6	 1.80	 22.95	                 	0	0
2446	182.96810373974	 +6.80342993396	3895588565003055616	                                	          	12.48	      	      	      	 1.289	 6.37	               	 0.734	5p	 43	9	 0.093	 1.243	 0.097	 0.028	 0.077	 0.075	 6.70e-03	   2.7	11.1	 1.89	 12.07	                 	0	0
2447	 11.15728979038	-70.80237030369	4690172147715278080	UCAC4 096-000622                	          	12.48	 12.94	  9.97	 1.204	 1.497	 7.91	               	 0.719	5p	 40	9	 0.109	 1.344	 0.095	 0.027	 0.077	 0.087	 8.10e-04	   3.4	10.2	 1.88	 14.88	                 	0	0
2448	225.27343223351	+33.47456267559	1289773529325115264	                                	          	12.48	      	      	      	 1.201	 5.97	               	 0.756	5p	 61	9	 0.112	 1.266	 0.098	 0.029	 0.075	 0.074	 2.70e-03	   3.0	11.9	 1.91	 11.43	                 	2	0
2449	 79.63038410092	-50.67544705929	4773291279701743744	                                	          	12.48	      	      	      	 1.600	 9.61	               	 0.707	5p	 42	9	 0.128	 1.422	 0.094	 0.028	 0.077	 0.097	 6.00e-05	   4.0	 9.2	 1.87	 17.97	                 	0	0
2450	154.68088279911	+36.66148379773	 753902451350434816	UCAC4 634-045106                	          	12.48	 13.07	  9.77	 1.330	 1.666	 9.30	               	 0.693	5p	 52	9	 0.089	 1.264	 0.095	 0.028	 0.080	 0.079	 1.30e-03	   3.2	 7.6	 1.86	 17.28	                 	0	0
2451	 11.15441965537	 -5.07060837043	2524253851542033152	                                	          	12.48	      	      	      	 1.439	 7.77	               	 0.716	5p	 54	9	 0.097	 1.225	 0.095	 0.027	 0.079	 0.072	 4.50e-03	   2.8	 8.5	 1.88	 14.61	                 	0	0
2452	133.65602246705	+57.81222547273	1037223095768425088	UCAC4 740-047817                	          	12.48	 13.29	  9.43	 1.445	 1.947	12.22	M2.2           	 0.626	5p	 44	9	 0.217	 2.026	 0.100	 0.034	 0.073	 0.165	 0.00e+00	   8.1	11.4	 1.80	 21.95	                 	2	0
2453	188.11812617853	-66.74822194880	5859866942722169728	                                	          	12.49	      	      	      	 2.159	13.84	               	 0.637	5p	 53	9	 0.175	 1.664	 0.109	 0.041	 0.081	 0.152	 0.00e+00	   7.1	 9.4	 1.81	 25.01	                 	0	0
2454	 25.20906036532	-27.87496234382	5023711134600937600	WT 1221                         	          	12.49	      	  9.45	      	 1.923	13.61	               	 0.646	5p	 46	9	 0.136	 1.430	 0.099	 0.033	 0.081	 0.108	 0.00e+00	   4.6	 6.8	 1.82	 24.72	                 	0	0
2455	  8.49480417322	+13.09665451114	2778856420471857792	Gaia DR3 2778856420471857792    	          	12.49	      	      	      	 1.847	12.96	               	 0.636	5p	 42	9	 0.097	 1.269	 0.097	 0.031	 0.077	 0.076	 6.30e-03	   2.7	 5.0	 1.81	 23.41	                 	0	0
2456	 27.49033762749	 -5.33156989677	2467926248807480448	                                	          	12.49	      	      	      	 1.584	 9.04	               	 0.713	5p	 52	9	 0.097	 1.246	 0.095	 0.028	 0.078	 0.072	 4.70e-03	   2.8	 7.3	 1.88	 16.95	                 	0	0
2457	 29.35436445287	+29.29786999925	 300696608923488640	                                	          	12.50	      	      	      	 1.377	 7.79	               	 0.725	5p	 19	9	 0.117	 1.430	 0.095	 0.027	 0.070	 0.093	 6.50e-03	   2.7	11.1	 1.89	 14.70	                 	0	0
2458	 45.31788349496	+14.06517484957	  29201963682367616	                                	          	12.50	      	      	      	 1.462	 7.95	               	 0.727	5p	 21	9	 0.112	 1.429	 0.095	 0.027	 0.074	 0.098	 2.20e-03	   3.1	11.5	 1.89	 15.02	                 	0	0
2459	161.98106929038	-10.27511078687	3761122136921049088	UCAC4 399-049097                	          	12.50	 13.16	  9.65	 1.394	 1.767	11.86	               	 0.646	5p	 22	9	 0.104	 1.454	 0.096	 0.030	 0.074	 0.100	 1.60e-03	   3.2	 7.2	 1.82	 21.54	                 	0	0
2460	 40.35274945040	-31.94209603968	5063132749627850752	                                	          	12.50	      	      	      	 1.089	 4.91	               	 0.782	5p	105	9	 0.093	 1.208	 0.099	 0.031	 0.076	 0.065	 2.50e-03	   3.0	12.9	 1.93	  9.49	                 	0	0
2461	141.90018741851	 +6.55540891975	 586113369179456256	                                	          	12.50	      	      	      	 1.231	 6.15	               	 0.754	5p	 60	8	 0.091	 1.221	 0.097	 0.029	 0.076	 0.070	 6.20e-03	   2.7	10.8	 1.91	 11.76	                 	0	0
2462	353.80670125129	-61.74450143129	6487125205244443264	UCAC3 57-472587                 	          	12.50	      	  9.52	      	 1.900	14.33	               	 0.606	5p	 45	9	 0.098	 1.335	 0.098	 0.032	 0.075	 0.082	 2.20e-03	   3.1	 4.7	 1.78	 25.46	                 	0	0
2463	299.85448501152	+82.20656894694	2301408751834955264	                                	          	12.50	      	      	      	 1.653	 9.28	               	 0.699	5p	 34	9	 0.101	 1.314	 0.095	 0.029	 0.078	 0.086	 2.20e-03	   3.1	 8.3	 1.86	 17.30	                 	0	0
2464	 11.75081652191	-75.28504971293	4684647106083495552	                                	          	12.50	      	      	      	 1.306	 6.43	               	 0.729	5p	 39	9	 0.090	 1.240	 0.096	 0.028	 0.079	 0.080	 4.10e-03	   2.9	11.6	 1.89	 12.15	                 	0	0
2465	261.06990565862	+76.60357802993	1657115996181703936	UCAC4 834-014544                	          	12.50	      	  9.87	      	 1.603	 8.83	               	 0.720	5p	 38	9	 0.078	 1.282	 0.094	 0.028	 0.080	 0.084	 1.60e-03	   3.1	 8.8	 1.88	 16.62	                 	0	0
2466	206.40445312312	-25.77976361915	6190403610029088768	UCAC4 322-070947                	          	12.50	 13.07	  9.69	 1.351	 1.688	10.18	               	 0.678	5p	 23	9	 0.139	 1.613	 0.095	 0.029	 0.073	 0.116	 6.00e-05	   4.0	10.1	 1.84	 18.78	                 	0	0
2467	312.05094306751	 +4.22540900229	1734394380666183040	                                	          	12.50	      	      	      	 1.530	 6.62	               	 0.738	5p	 51	9	 0.103	 1.320	 0.095	 0.028	 0.076	 0.079	 1.30e-03	   3.2	11.2	 1.90	 12.56	                 	0	0
2468	 25.74239165081	+69.23932659198	 520162217908241152	                                	          	12.50	      	      	      	 1.340	 6.31	               	 0.758	5p	 51	9	 0.123	 1.380	 0.096	 0.028	 0.074	 0.087	 2.70e-04	   3.6	13.2	 1.91	 12.08	                 	0	0
2469	 34.90195877520	 -5.57241485007	2489437467954909568	2MASS J02193641-0534199         	          	12.50	      	  9.73	      	 1.686	11.20	M1.5           	 0.674	5p	 21	9	 0.102	 1.346	 0.095	 0.029	 0.077	 0.091	 5.80e-03	   2.8	 7.2	 1.84	 20.63	                 	0	0
2470	184.73668294474	+45.74590751655	1544827275979094016	                                	          	12.50	      	      	      	 1.297	 5.95	               	 0.757	5p	 55	9	 0.114	 1.332	 0.096	 0.029	 0.075	 0.084	 4.30e-04	   3.5	13.4	 1.91	 11.40	                 	0	0
2471	 45.39612993451	-57.71911835979	4727068635502754048	LEHPM 2989                      	          	12.50	      	  9.35	      	 2.075	17.72	               	 0.636	5p	 50	9	 0.125	 1.411	 0.104	 0.039	 0.078	 0.103	 4.00e-05	   4.1	 4.9	 1.81	 32.00	                 	0	0
2472	102.36521445307	+34.58831590526	 940149722413709056	2MASS J06492752+3435184         	          	12.51	 12.99	  9.42	      	 1.940	12.18	               	 0.620	5p	 21	9	 0.126	 1.495	 0.099	 0.034	 0.072	 0.105	 1.60e-03	   3.1	 7.2	 1.79	 21.81	                 	0	0
2473	226.46075989614	+19.51658898412	1212829293295572736	                                	          	12.51	      	      	      	 1.526	 8.81	               	 0.718	5p	 53	9	 0.086	 1.281	 0.095	 0.028	 0.076	 0.073	 4.10e-03	   2.9	 7.6	 1.88	 16.57	                 	0	0
2474	257.58450282451	+48.03328950378	1366078605499947392	LP  179-32                      	          	12.51	      	  9.91	      	 1.553	 8.29	               	 0.710	5p	 37	9	 0.097	 1.304	 0.095	 0.028	 0.077	 0.080	 3.90e-03	   2.9	 8.9	 1.87	 15.54	                 	0	0
2475	283.46306573053	+77.22159297700	2292778749491550080	2MASS J18535134+7713179         	          	12.51	      	  9.79	      	 1.651	 9.38	               	 0.707	5p	 35	9	 0.134	 1.514	 0.095	 0.029	 0.080	 0.116	 0.00e+00	   4.8	11.2	 1.87	 17.55	                 	0	0
2476	212.50658526075	+13.10906859967	1227037457426941184	                                	          	12.51	      	      	      	 1.627	 9.54	               	 0.718	5p	 59	9	 0.119	 1.458	 0.094	 0.029	 0.078	 0.101	 0.00e+00	   5.0	 9.7	 1.88	 17.95	                 	0	0
2477	104.74005120909	 +9.93805787575	3158000083070423296	                                	          	12.51	      	      	      	 1.467	 8.10	               	 0.724	5p	 22	9	 0.135	 1.461	 0.095	 0.028	 0.073	 0.099	 1.50e-03	   3.2	11.4	 1.89	 15.27	                 	2	0
2478	282.46642053441	+49.81595751165	2143960675306114560	UCAC4 700-064053                	          	12.51	 12.87	 10.24	 1.197	 1.314	 6.88	               	 0.722	5p	 47	9	 0.106	 1.270	 0.096	 0.029	 0.077	 0.079	 2.60e-03	   3.0	10.6	 1.88	 12.95	                 	2	0
2479	 28.17316056064	 -4.75347993418	2491991946999387904	Gaia DR2 2491991946999387904    	          	12.51	      	      	      	 2.132	12.05	               	 0.656	5p	 61	9	 0.184	 1.706	 0.106	 0.041	 0.078	 0.148	 0.00e+00	   7.5	10.7	 1.82	 21.98	                 	0	0
2480	 85.48519908958	+80.96229168572	 556926897443855872	                                	          	12.51	      	      	      	 1.258	 5.62	               	 0.770	5p	 46	9	 0.115	 1.268	 0.097	 0.030	 0.075	 0.075	 5.70e-03	   2.8	12.9	 1.92	 10.82	                 	0	0
2481	 28.54940996756	-24.96308575043	5122023382682865024	UCAC4 326-001896                	          	12.51	      	  9.49	      	 1.914	13.49	               	 0.600	5p	 56	8	 0.104	 1.227	 0.098	 0.033	 0.081	 0.077	 2.30e-03	   3.0	 4.7	 1.77	 23.90	                 	0	0
2482	 20.54323005764	+26.25800178349	 294682997578408960	                                	          	12.51	      	      	      	 1.856	13.09	               	 0.622	5p	 36	9	 0.107	 1.406	 0.097	 0.032	 0.075	 0.092	 7.70e-04	   3.4	 5.9	 1.79	 23.46	                 	0	0
2483	 63.44025924151	-51.60946344125	4781993330120288768	                                	          	12.51	      	      	      	 1.276	 6.48	               	 0.721	5p	 43	9	 0.088	 1.251	 0.097	 0.030	 0.077	 0.078	 4.70e-03	   2.8	11.1	 1.88	 12.20	                 	0	0
2484	 92.03119378292	-76.94056544194	5260519207348568192	                                	          	12.52	      	      	      	 1.488	 7.93	               	 0.734	5p	 43	9	 0.089	 1.236	 0.095	 0.028	 0.079	 0.074	 6.50e-03	   2.7	 8.8	 1.89	 15.02	                 	0	0
2485	  5.89561807823	+68.43348785762	 530335792843164288	                                	          	12.52	      	      	      	 1.825	11.31	               	 0.663	5p	 42	9	 0.194	 1.897	 0.096	 0.031	 0.075	 0.152	 0.00e+00	   7.4	11.7	 1.83	 20.70	                 	1	0
2486	 13.34792374428	+10.90650383243	2582640186719046016	UCAC4 505-001359                	          	12.52	 12.90	 10.37	 0.982	 1.244	 5.90	               	 0.747	5p	 41	9	 0.101	 1.249	 0.097	 0.030	 0.079	 0.082	 2.90e-03	   3.0	13.1	 1.91	 11.25	                 	0	0
2487	119.65071342174	+56.34197574641	1081322205055759872	LSPM J0758+5620                 	          	12.52	      	  9.21	      	 2.220	17.44	               	 0.584	5p	 58	8	 0.118	 1.393	 0.113	 0.044	 0.071	 0.091	 1.40e-03	   3.2	 4.2	 1.76	 30.62	                 	0	0
2488	 72.35194673036	-66.50983580354	4662547265970295296	                                	          	12.52	      	      	      	 1.661	 9.93	               	 0.683	5p	 32	9	 0.090	 1.266	 0.095	 0.029	 0.083	 0.090	 1.40e-03	   3.2	 8.1	 1.85	 18.37	                 	0	0
2489	 50.40926604304	-26.26743360302	5061611536632847360	UCAC2  21001012                 	          	12.52	 13.23	  9.48	 1.460	 1.931	12.89	               	 0.644	5p	103	9	 0.142	 1.492	 0.099	 0.034	 0.076	 0.103	 0.00e+00	   6.2	 6.9	 1.81	 23.38	                 	0	0
2490	 21.28135652733	-35.94175856968	5013191969419827200	                                	          	12.52	      	      	      	 1.628	 9.54	               	 0.707	5p	 94	9	 0.120	 1.387	 0.094	 0.029	 0.080	 0.095	 0.00e+00	   5.6	 9.1	 1.87	 17.85	                 	0	0
2491	 31.29353933237	-15.46399372526	5147860153588703872	G 272-149                       	          	12.52	      	  9.95	      	 1.503	 8.90	               	 0.699	5p	 38	9	 0.096	 1.234	 0.095	 0.029	 0.082	 0.081	 3.00e-03	   3.0	 8.3	 1.86	 16.58	                 	0	0
2492	257.14247525898	-47.74696775713	5962778177361653504	                                	          	12.52	      	      	      	 1.268	 6.73	               	 0.730	5p	 43	8	 0.104	 1.216	 0.097	 0.030	 0.083	 0.084	 1.60e-03	   3.2	11.6	 1.89	 12.73	                 	0	0
2493	166.39607918223	+11.97879102921	3964658751587902976	                                	          	12.52	      	      	      	 1.581	 8.54	               	 0.698	5p	 24	9	 0.119	 1.386	 0.095	 0.029	 0.078	 0.098	 1.30e-03	   3.2	10.4	 1.86	 15.90	                 	0	0
2494	221.13741414423	 +5.45844650715	1159035682611302016	                                	          	12.52	      	      	      	 1.995	14.01	               	 0.608	5p	 26	9	 0.110	 1.412	 0.101	 0.037	 0.073	 0.094	 3.90e-03	   2.9	 5.6	 1.78	 24.92	                 	0	0
2495	262.37701007564	+50.06527547802	1366713332946923648	                                	          	12.52	      	      	      	 1.477	 7.87	               	 0.701	5p	 38	9	 0.103	 1.279	 0.095	 0.029	 0.077	 0.079	 4.80e-03	   2.8	 9.1	 1.87	 14.67	                 	0	0
2496	 44.00504791412	+11.66157582805	  28216668119463040	                                	          	12.52	      	      	      	 1.511	 7.59	               	 0.716	5p	 21	9	 0.112	 1.386	 0.095	 0.029	 0.073	 0.089	 6.90e-03	   2.7	10.8	 1.88	 14.26	                 	0	0
2497	132.59003383402	-12.18916164672	5736815274994794496	                                	          	12.52	      	      	      	 1.299	 6.32	               	 0.729	5p	 51	9	 0.116	 1.309	 0.096	 0.030	 0.076	 0.082	 9.30e-04	   3.3	12.1	 1.89	 11.95	                 	0	0
2498	 79.55086316458	-53.98975345779	4770275761688208896	UCAC4 181-005681                	          	12.53	 13.12	  9.72	 1.326	 1.726	10.86	               	 0.685	5p	 34	9	 0.092	 1.302	 0.095	 0.030	 0.077	 0.081	 5.30e-03	   2.8	 6.7	 1.85	 20.11	                 	0	0
2499	354.93391012759	+40.59638577781	1920489545464325248	                                	          	12.53	      	      	      	 1.305	 6.53	               	 0.736	5p	 96	9	 0.103	 1.276	 0.096	 0.030	 0.075	 0.072	 3.70e-04	   3.6	10.4	 1.90	 12.38	                 	0	0
2500	354.09610358836	+31.00493935207	2871172688052457088	Gaia DR2 2871172688052457088    	          	12.53	      	      	      	 1.499	 8.34	               	 0.691	5p	 74	9	 0.103	 1.333	 0.095	 0.029	 0.076	 0.081	 1.10e-04	   3.9	 8.7	 1.86	 15.49	                 	2	0
2501	 70.01985815144	-76.30035027411	4628051359950448768	                                	          	12.53	      	      	      	 1.353	 6.64	               	 0.755	5p	 38	9	 0.087	 1.247	 0.096	 0.029	 0.080	 0.082	 3.10e-03	   3.0	11.8	 1.91	 12.70	                 	0	0
2502	  6.74005831473	-58.30349659735	4906605582804363776	                                	          	12.53	      	      	      	 1.219	 6.41	               	 0.775	5p	 44	9	 0.105	 1.257	 0.097	 0.031	 0.076	 0.078	 4.60e-03	   2.8	11.8	 1.93	 12.36	                 	0	0
2503	240.39509082952	-88.90707447815	5764771698161731328	                                	          	12.53	      	      	      	 1.655	 9.86	               	 0.702	5p	 35	9	 0.094	 1.297	 0.095	 0.030	 0.078	 0.082	 3.70e-03	   2.9	 7.5	 1.87	 18.40	                 	0	0
